T2,T3,T4,T5,T6,T7,CN
"HQA,LM,NNH,HL,DDT,LT,HQ,NAD,T,TDD,MA,HMD,HD,DDH","LM,NM,MP,NAD,T,HD","HQA,LM,NNH,NDM,NM,HL,LT,NQ,KL,T,TDD,DHA,MA,PT,HMD, HD,DDH","QH,MP,DDT,NQ,KL,NAD,DHA,PT,HD","HQA,QH,DDT,HD","DDT,HQ,HD","HL,LT, HD"
"HQA,LM,NNH,QH,MP,HL,DDT,LT,NQ,NAD,T,TDD,DHA,MA,PT,HMD,LTT,HD,DDH","LM,LAT","LM,NNH,NDM,HL,LT,NQ,KL,LAT,TDD,MA,HMD,HD","HQA,NDM,QH,DDT,NQ,KL,HQ,NAD,HD","HQA,LM,LAT,DHA,QH",LAT,"HL,LT"
"HQA,NNH,HL,DDT,LT,NQ,HQ,NAD,T,TDD,MA,HMD,HD,DDH","NM,DDT,NQ,NAD,T,HD","HQA,NNH,NDM,QH,NM,HL,NQ,KL,T,TDD,MA,HMD,HD,TH","DDT,NQ,KL,NAD,DHA,PT,TH","NQ,TH",HQ,MA
"LM,TNT,NNH,NM,HL,DDT,LT,NQ,LAT,NAD,T,TDD, DHA,MA,PT,HMD,LTT,HD,DDH","LM,NM,HL,DDT,NQ,NAD,T,LTT,TH,DDH","TNT,NNH,QH,HL,LT,NQ,MA,PT,HMD,LTT,TH,DDH","LM,TNT,MP,DDT,NQ,NAD,LTT,HD,TH","TNT,DDT,NQ,LTT,TH","NDM,MP,HQ,NAD,TDD,DHA,LTT","NDM,MA"
"HQA,LM,TNT,NDM,NM,HL,DDT,LT,NQ,MP,LAT,HQ,NAD,DHA,MA,PT,HMD,LTT,HD,DDH","LM,TNT,NM,HL,NQ,NAD,LAT,HMD,HD,TH","TNT,NDM,QH,HL,LT,NQ,LAT,DHA,MA,PT,HMD,HD,DDH","HQA,LM,TNT,NDM,MP,DDT,NQ,LAT,NAD,LAT,PT,HMD,LTT,HD","MP,NQ,LAT,HMD,HD,TH","HQ,NAD,LAT,HMD,LTT,HD","NDM,NQ,LAT,MA,HMD,HD"
